geo,year,semester,period,price_eur_kwh
Belgium,2021,S2,2021-S2,0.3002
Belgium,2022,S1,2022-S1,0.3478
Belgium,2022,S2,2022-S2,0.4519
Belgium,2023,S1,2023-S1,0.4318
Belgium,2023,S2,2023-S2,0.3772
Belgium,2024,S1,2024-S1,0.3346
Belgium,2024,S2,2024-S2,0.3338
Bulgaria,2021,S2,2021-S2,0.1091
Bulgaria,2022,S1,2022-S1,0.1091
Bulgaria,2022,S2,2022-S2,0.1149
Bulgaria,2023,S1,2023-S1,0.1136
Bulgaria,2023,S2,2023-S2,0.1194
Bulgaria,2024,S1,2024-S1,0.1185
Bulgaria,2024,S2,2024-S2,0.1215
Czechia,2021,S2,2021-S2,0.1871
Czechia,2022,S1,2022-S1,0.2317
Czechia,2022,S2,2022-S2,0.1572
Czechia,2023,S1,2023-S1,0.3041
Czechia,2023,S2,2023-S2,0.3039
Czechia,2024,S1,2024-S1,0.3259
Czechia,2024,S2,2024-S2,0.3199
Denmark,2021,S2,2021-S2,0.2873
Denmark,2022,S1,2022-S1,0.3958
Denmark,2022,S2,2022-S2,0.537
Denmark,2023,S1,2023-S1,0.3779
Denmark,2023,S2,2023-S2,0.3076
Denmark,2024,S1,2024-S1,0.3189
Denmark,2024,S2,2024-S2,0.3244
Germany,2021,S2,2021-S2,0.3288
Germany,2022,S1,2022-S1,0.3348
Germany,2022,S2,2022-S2,0.3475
Germany,2023,S1,2023-S1,0.423
Germany,2023,S2,2023-S2,0.4162
Germany,2024,S1,2024-S1,0.41
Germany,2024,S2,2024-S2,0.4111
Estonia,2021,S2,2021-S2,0.196
Estonia,2022,S1,2022-S1,0.2031
Estonia,2022,S2,2022-S2,0.2381
Estonia,2023,S1,2023-S1,0.2081
Estonia,2023,S2,2023-S2,0.2192
Estonia,2024,S1,2024-S1,0.2155
Estonia,2024,S2,2024-S2,0.2107
Ireland,2020,S1,2020-S1,0.2294
Ireland,2020,S2,2020-S2,0.2505
Ireland,2021,S1,2021-S1,0.2453
Ireland,2021,S2,2021-S2,0.2799
Ireland,2022,S1,2022-S1,0.2283
Ireland,2022,S2,2022-S2,0.317
Ireland,2023,S1,2023-S1,0.2739
Ireland,2023,S2,2023-S2,0.3746
Ireland,2024,S1,2024-S1,0.2592
Ireland,2024,S2,2024-S2,0.3049
Greece,2021,S2,2021-S2,0.2086
Greece,2022,S1,2022-S1,0.2339
Greece,2022,S2,2022-S2,0.2591
Greece,2023,S1,2023-S1,0.2486
Greece,2023,S2,2023-S2,0.2463
Greece,2024,S1,2024-S1,0.2434
Greece,2024,S2,2024-S2,0.2493
Spain,2021,S2,2021-S2,0.2878
Spain,2022,S1,2022-S1,0.3207
Spain,2022,S2,2022-S2,0.3452
Spain,2023,S1,2023-S1,0.2647
Spain,2023,S2,2023-S2,0.2552
Spain,2024,S1,2024-S1,0.2688
Spain,2024,S2,2024-S2,0.2643
France,2021,S2,2021-S2,0.197
France,2022,S1,2022-S1,0.2046
France,2022,S2,2022-S2,0.2106
France,2023,S1,2023-S1,0.2225
France,2023,S2,2023-S2,0.2512
France,2024,S1,2024-S1,0.2758
France,2024,S2,2024-S2,0.285
Croatia,2021,S2,2021-S2,0.1325
Croatia,2022,S1,2022-S1,0.1377
Croatia,2022,S2,2022-S2,0.1493
Croatia,2023,S1,2023-S1,0.1557
Croatia,2023,S2,2023-S2,0.1543
Croatia,2024,S1,2024-S1,0.154
Croatia,2024,S2,2024-S2,0.153
Italy,2021,S2,2021-S2,0.2613
Italy,2022,S1,2022-S1,0.3359
Italy,2022,S2,2022-S2,0.3923
Italy,2023,S1,2023-S1,0.4068
Italy,2023,S2,2023-S2,0.3619
Italy,2024,S1,2024-S1,0.3621
Italy,2024,S2,2024-S2,0.3505
Cyprus,2021,S2,2021-S2,0.2317
Cyprus,2022,S1,2022-S1,0.2582
Cyprus,2022,S2,2022-S2,0.3363
Cyprus,2023,S1,2023-S1,0.3783
Cyprus,2023,S2,2023-S2,0.3519
Cyprus,2024,S1,2024-S1,0.3288
Cyprus,2024,S2,2024-S2,0.3349
Latvia,2021,S2,2021-S2,0.1961
Latvia,2022,S1,2022-S1,0.1763
Latvia,2022,S2,2022-S2,0.3014
Latvia,2023,S1,2023-S1,0.3161
Latvia,2023,S2,2023-S2,0.304
Latvia,2024,S1,2024-S1,0.2584
Latvia,2024,S2,2024-S2,0.2429
Lithuania,2021,S2,2021-S2,0.1501
Lithuania,2022,S1,2022-S1,0.1513
Lithuania,2022,S2,2022-S2,0.2474
Lithuania,2023,S1,2023-S1,0.2917
Lithuania,2023,S2,2023-S2,0.2313
Lithuania,2024,S1,2024-S1,0.2368
Lithuania,2024,S2,2024-S2,0.2235
Luxembourg,2021,S2,2021-S2,0.1901
Luxembourg,2022,S1,2022-S1,0.1928
Luxembourg,2022,S2,2022-S2,0.1945
Luxembourg,2023,S1,2023-S1,0.1887
Luxembourg,2023,S2,2023-S2,0.1909
Luxembourg,2024,S1,2024-S1,0.1925
Hungary,2021,S1,2021-S1,0.1006
Hungary,2021,S2,2021-S2,0.1007
Hungary,2022,S1,2022-S1,0.0946
Hungary,2022,S2,2022-S2,0.1092
Hungary,2023,S1,2023-S1,0.1181
Hungary,2023,S2,2023-S2,0.1109
Hungary,2024,S1,2024-S1,0.109
Hungary,2024,S2,2024-S2,0.1056
Malta,2021,S2,2021-S2,0.1581
Malta,2022,S1,2022-S1,0.1562
Malta,2022,S2,2022-S2,0.1506
Malta,2023,S1,2023-S1,0.1469
Malta,2023,S2,2023-S2,0.1471
Malta,2024,S2,2024-S2,0.1505
Netherlands,2019,S1,2019-S1,0.208
Netherlands,2019,S2,2019-S2,0.2021
Netherlands,2020,S1,2020-S1,0.1375
Netherlands,2020,S2,2020-S2,0.1273
Netherlands,2021,S1,2021-S1,0.1246
Netherlands,2021,S2,2021-S2,0.1367
Netherlands,2022,S1,2022-S1,0.0118
Netherlands,2022,S2,2022-S2,0.1075
Netherlands,2023,S1,2023-S1,0.3491
Netherlands,2023,S2,2023-S2,0.2187
Netherlands,2024,S1,2024-S1,0.2407
Netherlands,2024,S2,2024-S2,0.1974
Austria,2021,S2,2021-S2,0.2252
Austria,2022,S1,2022-S1,0.22
Austria,2022,S2,2022-S2,0.2356
Austria,2023,S1,2023-S1,0.272
Austria,2023,S2,2023-S2,0.2885
Austria,2024,S1,2024-S1,0.2846
Austria,2024,S2,2024-S2,0.2578
Poland,2021,S2,2021-S2,0.1654
Poland,2022,S1,2022-S1,0.153
Poland,2022,S2,2022-S2,0.1709
Poland,2023,S1,2023-S1,0.1979
Poland,2023,S2,2023-S2,0.2291
Poland,2024,S2,2024-S2,0.2573
Portugal,2021,S2,2021-S2,0.2285
Portugal,2022,S1,2022-S1,0.232
Portugal,2022,S2,2022-S2,0.2347
Portugal,2023,S1,2023-S1,0.2196
Portugal,2023,S2,2023-S2,0.2395
Portugal,2024,S2,2024-S2,0.2764
Romania,2021,S2,2021-S2,0.1611
Romania,2022,S1,2022-S1,0.232
Romania,2022,S2,2022-S2,0.3421
Romania,2023,S1,2023-S1,0.18
Romania,2023,S2,2023-S2,0.1782
Romania,2024,S1,2024-S1,0.1774
Romania,2024,S2,2024-S2,0.1748
Slovenia,2021,S2,2021-S2,0.1638
Slovenia,2022,S1,2022-S1,0.1344
Slovenia,2022,S2,2022-S2,0.1886
Slovenia,2023,S1,2023-S1,0.1872
Slovenia,2023,S2,2023-S2,0.2062
Slovenia,2024,S1,2024-S1,0.2074
Slovenia,2024,S2,2024-S2,0.1964
Slovakia,2021,S2,2021-S2,0.1629
Slovakia,2022,S1,2022-S1,0.1793
Slovakia,2022,S2,2022-S2,0.1891
Slovakia,2023,S1,2023-S1,0.1907
Slovakia,2023,S2,2023-S2,0.1967
Slovakia,2024,S1,2024-S1,0.1808
Slovakia,2024,S2,2024-S2,0.1791
Finland,2021,S2,2021-S2,0.1605
Finland,2022,S1,2022-S1,0.1669
Finland,2022,S2,2022-S2,0.2048
Finland,2023,S1,2023-S1,0.1986
Finland,2023,S2,2023-S2,0.2042
Finland,2024,S1,2024-S1,0.2163
Finland,2024,S2,2024-S2,0.1903
Sweden,2020,S1,2020-S1,0.1525
Sweden,2020,S2,2020-S2,0.165
Sweden,2021,S1,2021-S1,0.1697
Sweden,2021,S2,2021-S2,0.2053
Sweden,2022,S1,2022-S1,0.1781
Sweden,2022,S2,2022-S2,0.2227
Sweden,2023,S1,2023-S1,0.2172
Sweden,2023,S2,2023-S2,0.187
Sweden,2024,S1,2024-S1,0.2043
Sweden,2024,S2,2024-S2,0.1939
Iceland,2021,S2,2021-S2,0.113
Iceland,2022,S1,2022-S1,0.1241
Iceland,2022,S2,2022-S2,0.1261
Iceland,2023,S1,2023-S1,0.1261
Iceland,2023,S2,2023-S2,0.1315
Iceland,2024,S2,2024-S2,0.1538
Liechtenstein,2021,S2,2021-S2,0.2176
Liechtenstein,2022,S1,2022-S1,0.2151
Liechtenstein,2022,S2,2022-S2,0.2283
Liechtenstein,2023,S1,2023-S1,0.4308
Liechtenstein,2023,S2,2023-S2,0.3557
Liechtenstein,2024,S1,2024-S1,0.3191
Liechtenstein,2024,S2,2024-S2,0.3067
Norway,2021,S2,2021-S2,0.1692
Norway,2022,S1,2022-S1,0.149
Norway,2022,S2,2022-S2,0.1614
Norway,2023,S1,2023-S1,0.1336
Norway,2023,S2,2023-S2,0.1211
Norway,2024,S2,2024-S2,0.1124
Bosnia and Herzegovina,2021,S2,2021-S2,0.0863
