geo,year,dependency_pct,avg_price_eur_kwh
Belgium,2021,70.773,0.3002
Belgium,2022,73.697,0.39985000000000004
Belgium,2023,75.763,0.40449999999999997
Belgium,2024,75.448,0.3342
Bulgaria,2021,36.178,0.1091
Bulgaria,2022,37.11,0.112
Bulgaria,2023,39.512,0.1165
Bulgaria,2024,41.936,0.12
Czechia,2021,39.958,0.1871
Czechia,2022,41.772,0.19445
Czechia,2023,41.679,0.304
Czechia,2024,39.32,0.3229
Denmark,2021,32.225,0.2873
Denmark,2022,43.142,0.46640000000000004
Denmark,2023,39.705,0.34275
Denmark,2024,38.229,0.32165
Germany,2021,63.395,0.3288
Germany,2022,68.652,0.34114999999999995
Germany,2023,66.831,0.4196
Germany,2024,66.812,0.41054999999999997
Estonia,2021,1.412,0.196
Estonia,2022,6.159,0.22060000000000002
Estonia,2023,3.471,0.21365
Estonia,2024,4.622,0.2131
Ireland,2021,76.997,0.2626
Ireland,2022,79.086,0.27265
Ireland,2023,77.761,0.32425
Ireland,2024,79.533,0.28205
Greece,2021,73.819,0.2086
Greece,2022,79.506,0.2465
Greece,2023,75.447,0.24745
Greece,2024,77.714,0.24635
Spain,2021,69.38,0.2878
Spain,2022,74.202,0.33294999999999997
Spain,2023,68.261,0.25995
Spain,2024,68.871,0.26654999999999995
France,2021,44.036,0.197
France,2022,51.819,0.2076
France,2023,44.773,0.23685
France,2024,41.672,0.2804
Croatia,2021,54.539,0.1325
Croatia,2022,60.303,0.1435
Croatia,2023,55.721,0.155
Croatia,2024,59.929,0.1535
Italy,2021,73.416,0.2613
Italy,2022,79.49,0.3641
Italy,2023,75.356,0.38434999999999997
Italy,2024,73.884,0.35629999999999995
Cyprus,2021,89.524,0.2317
Cyprus,2022,92.018,0.29725
Cyprus,2023,92.205,0.3651
Cyprus,2024,87.706,0.33185
Latvia,2021,38.335,0.1961
Latvia,2022,38.213,0.23885
Latvia,2023,32.716,0.31005
Latvia,2024,29.26,0.25065000000000004
Lithuania,2021,73.272,0.1501
Lithuania,2022,72.434,0.19935
Lithuania,2023,69.498,0.2615
Lithuania,2024,66.014,0.23015000000000002
Luxembourg,2021,92.374,0.1901
Luxembourg,2022,91.483,0.19365
Luxembourg,2023,91.448,0.1898
Luxembourg,2024,91.034,0.1925
Hungary,2021,54.121,0.10064999999999999
Hungary,2022,64.206,0.1019
Hungary,2023,62.087,0.11449999999999999
Hungary,2024,48.943,0.1073
Malta,2021,97.042,0.1581
Malta,2022,98.965,0.1534
Malta,2023,97.553,0.14700000000000002
Malta,2024,98.388,0.1505
Netherlands,2021,58.451,0.13065
Netherlands,2022,80.242,0.05965
Netherlands,2023,70.411,0.28390000000000004
Netherlands,2024,70.564,0.21905
Austria,2021,51.952,0.2252
Austria,2022,73.986,0.2278
Austria,2023,60.317,0.28025
Austria,2024,53.325,0.2712
Poland,2021,40.464,0.1654
Poland,2022,46.115,0.16194999999999998
Poland,2023,47.996,0.2135
Poland,2024,45.669,0.2573
Portugal,2021,66.925,0.2285
Portugal,2022,71.274,0.23335
Portugal,2023,66.866,0.22954999999999998
Portugal,2024,64.524,0.2764
Romania,2021,31.65,0.1611
Romania,2022,32.423,0.28705
Romania,2023,27.863,0.17909999999999998
Romania,2024,30.356,0.1761
Slovenia,2021,48.6,0.1638
Slovenia,2022,53.91,0.16149999999999998
Slovenia,2023,49.26,0.19669999999999999
Slovenia,2024,46.382,0.2019
Slovakia,2021,52.584,0.1629
Slovakia,2022,69.595,0.18419999999999997
Slovakia,2023,58.41,0.1937
Slovakia,2024,53.501,0.17995
Finland,2021,37.933,0.1605
Finland,2022,40.919,0.18585000000000002
Finland,2023,29.709,0.2014
Finland,2024,32.973,0.20329999999999998
Sweden,2021,21.224,0.1875
Sweden,2022,26.961,0.20040000000000002
Sweden,2023,26.388,0.2021
Sweden,2024,26.504,0.1991
Iceland,2021,15.132,0.113
Iceland,2022,17.336,0.1251
Iceland,2023,16.978,0.1288
Iceland,2024,16.807,0.1538
Norway,2021,-622.175,0.1692
Norway,2022,-682.103,0.1552
Norway,2023,-655.137,0.12735
Norway,2024,-677.196,0.1124
Bosnia and Herzegovina,2021,27.151,0.0863
Bosnia and Herzegovina,2022,26.281,0.08925
Bosnia and Herzegovina,2023,24.836,0.09025
Bosnia and Herzegovina,2024,27.796,0.09175
Montenegro,2021,31.098,0.1004
Montenegro,2022,29.089,0.10139999999999999
Montenegro,2023,23.742,0.10195000000000001
Montenegro,2024,32.622,0.10425000000000001
Moldova,2021,76.636,0.0809
Moldova,2022,81.0,0.1479
Moldova,2023,75.553,0.15755
Moldova,2024,79.287,0.12935000000000002
North Macedonia,2021,68.073,0.084
North Macedonia,2022,63.329,0.0996
North Macedonia,2023,62.79,0.11424999999999999
North Macedonia,2024,64.791,0.1129
Georgia,2021,76.706,0.0624
Georgia,2022,77.696,0.0818
Georgia,2023,78.022,0.0821
Georgia,2024,78.461,0.06634999999999999
Albania,2022,31.467,0.0976
Albania,2023,21.845,0.101
Serbia,2021,34.792,0.0855
Serbia,2022,44.913,0.0888
Serbia,2023,41.947,0.10725
Serbia,2024,40.793,0.1172
Türkiye,2021,70.89,0.0789
Türkiye,2022,71.168,0.0896
Türkiye,2023,69.983,0.0557
Türkiye,2024,68.11,0.055099999999999996
Kosovo*,2021,32.614,0.0599
Kosovo*,2022,32.238,0.06670000000000001
