freq,siec,nrg_cons,unit,tax,currency,geo,time,value
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2017-07-01,0.1191
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2018-01-01,0.1273
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2018-07-01,0.1295
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2019-01-01,0.1367
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2019-07-01,0.1446
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2020-01-01,0.119
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2020-07-01,0.1249
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2021-01-01,0.1183
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2021-07-01,0.1555
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2022-01-01,0.1928
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2022-07-01,0.2374
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2023-01-01,0.2413
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2023-07-01,0.2332
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2024-01-01,0.2279
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2024-07-01,0.2233
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2025-01-01,0.2148
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2025-07-01,0.2112
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017-07-01,0.1191
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018-01-01,0.1273
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018-07-01,0.1295
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019-01-01,0.1367
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019-07-01,0.1446
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020-01-01,0.1608
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020-07-01,0.1625
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021-01-01,0.16
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021-07-01,0.1623
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022-01-01,0.2078
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022-07-01,0.2527
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023-01-01,0.2662
