freq,nrg_bal,siec,unit,geo,time,value
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2013-01-01,918671.439
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2014-01-01,876100.968
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2015-01-01,895850.777
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2016-01-01,914626.279
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2017-01-01,927346.083
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2018-01-01,928645.111
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2019-01-01,922846.966
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2020-01-01,871862.63
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2021-01-01,925205.048
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2022-01-01,885717.318
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2023-01-01,855847.228
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2024-01-01,861420.154
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2013-01-01,34011.623
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2014-01-01,31552.075
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2015-01-01,33134.556
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2016-01-01,33384.527
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2017-01-01,32929.156
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2018-01-01,33138.244
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2019-01-01,32438.375
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2020-01-01,31155.401
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2021-01-01,33307.465
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2022-01-01,30522.671
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2023-01-01,30043.254
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2024-01-01,30741.348
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2013-01-01,8680.757
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2014-01-01,8881.501
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2015-01-01,9388.553
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2016-01-01,9517.949
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2017-01-01,9745.903
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2018-01-01,9757.67
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2019-01-01,9719.6
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2020-01-01,9499.659
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2021-01-01,10165.77
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2022-01-01,9856.902
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2023-01-01,9607.139
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2024-01-01,9845.891
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2013-01-01,23131.377
