freq,siec,unit,geo,time,value
Annual,Total,Percentage,European Union - 27 countries (from 2020),1990-01-01,50.024
Annual,Total,Percentage,European Union - 27 countries (from 2020),1991-01-01,50.459
Annual,Total,Percentage,European Union - 27 countries (from 2020),1992-01-01,51.742
Annual,Total,Percentage,European Union - 27 countries (from 2020),1993-01-01,50.278
Annual,Total,Percentage,European Union - 27 countries (from 2020),1994-01-01,51.317
Annual,Total,Percentage,European Union - 27 countries (from 2020),1995-01-01,52.152
Annual,Total,Percentage,European Union - 27 countries (from 2020),1996-01-01,52.691
Annual,Total,Percentage,European Union - 27 countries (from 2020),1997-01-01,53.559
Annual,Total,Percentage,European Union - 27 countries (from 2020),1998-01-01,55.381
Annual,Total,Percentage,European Union - 27 countries (from 2020),1999-01-01,55.026
Annual,Total,Percentage,European Union - 27 countries (from 2020),2000-01-01,56.285
Annual,Total,Percentage,European Union - 27 countries (from 2020),2001-01-01,55.769
Annual,Total,Percentage,European Union - 27 countries (from 2020),2002-01-01,56.256
Annual,Total,Percentage,European Union - 27 countries (from 2020),2003-01-01,56.878
Annual,Total,Percentage,European Union - 27 countries (from 2020),2004-01-01,56.854
Annual,Total,Percentage,European Union - 27 countries (from 2020),2005-01-01,57.819
Annual,Total,Percentage,European Union - 27 countries (from 2020),2006-01-01,58.244
Annual,Total,Percentage,European Union - 27 countries (from 2020),2007-01-01,57.219
Annual,Total,Percentage,European Union - 27 countries (from 2020),2008-01-01,58.37
Annual,Total,Percentage,European Union - 27 countries (from 2020),2009-01-01,57.172
Annual,Total,Percentage,European Union - 27 countries (from 2020),2010-01-01,55.745
Annual,Total,Percentage,European Union - 27 countries (from 2020),2011-01-01,56.331
Annual,Total,Percentage,European Union - 27 countries (from 2020),2012-01-01,54.882
Annual,Total,Percentage,European Union - 27 countries (from 2020),2013-01-01,53.897
Annual,Total,Percentage,European Union - 27 countries (from 2020),2014-01-01,54.4
Annual,Total,Percentage,European Union - 27 countries (from 2020),2015-01-01,55.999
Annual,Total,Percentage,European Union - 27 countries (from 2020),2016-01-01,56.12
Annual,Total,Percentage,European Union - 27 countries (from 2020),2017-01-01,57.494
Annual,Total,Percentage,European Union - 27 countries (from 2020),2018-01-01,58.112
Annual,Total,Percentage,European Union - 27 countries (from 2020),2019-01-01,60.49
Annual,Total,Percentage,European Union - 27 countries (from 2020),2020-01-01,57.459
Annual,Total,Percentage,European Union - 27 countries (from 2020),2021-01-01,55.501
Annual,Total,Percentage,European Union - 27 countries (from 2020),2022-01-01,62.513
Annual,Total,Percentage,European Union - 27 countries (from 2020),2023-01-01,58.342
Annual,Total,Percentage,European Union - 27 countries (from 2020),2024-01-01,57.286
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1990-01-01,57.018
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1991-01-01,57.753
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1992-01-01,59.318
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1993-01-01,57.565
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1994-01-01,58.82
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1995-01-01,59.561
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1996-01-01,59.719
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1997-01-01,60.787
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1998-01-01,62.655
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),1999-01-01,62.576
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2000-01-01,63.997
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2001-01-01,63.127
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2002-01-01,63.757
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2003-01-01,63.945
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2004-01-01,64.056
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2005-01-01,64.948
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2006-01-01,65.306
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2007-01-01,63.516
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2008-01-01,64.374
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2009-01-01,63.173
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2010-01-01,61.671
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2011-01-01,62.311
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2012-01-01,60.905
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2013-01-01,59.754
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2014-01-01,59.999
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2015-01-01,61.975
Annual,Total,Percentage,Euro area – 20 countries (2023-2025),2016-01-01,61.772
