freq,nrg_bal,unit,geo,time,value
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2004-01-01,9.605
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2005-01-01,10.182
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2006-01-01,10.778
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2007-01-01,11.749
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2008-01-01,12.552
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2009-01-01,13.85
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2010-01-01,14.405
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2011-01-01,14.547
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2012-01-01,16.002
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2013-01-01,16.659
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2014-01-01,17.416
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2015-01-01,17.82
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2016-01-01,17.978
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2017-01-01,18.411
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2018-01-01,19.096
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2019-01-01,19.887
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2020-01-01,22.038
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2021-01-01,21.897
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2022-01-01,23.003
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2023-01-01,24.579
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2024-01-01,25.241
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2021-01-01,40.055
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2022-01-01,40.828
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2023-01-01,46.58
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2024-01-01,47.417
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2021-01-01,20.661
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2022-01-01,21.749
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2023-01-01,23.429
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2024-01-01,24.205
Annual,Renewable energy - overall,Percentage,Belgium,2004-01-01,1.916
Annual,Renewable energy - overall,Percentage,Belgium,2005-01-01,2.325
Annual,Renewable energy - overall,Percentage,Belgium,2006-01-01,2.658
Annual,Renewable energy - overall,Percentage,Belgium,2007-01-01,3.14
Annual,Renewable energy - overall,Percentage,Belgium,2008-01-01,3.611
Annual,Renewable energy - overall,Percentage,Belgium,2009-01-01,4.746
Annual,Renewable energy - overall,Percentage,Belgium,2010-01-01,6.004
Annual,Renewable energy - overall,Percentage,Belgium,2011-01-01,6.302
Annual,Renewable energy - overall,Percentage,Belgium,2012-01-01,7.086
Annual,Renewable energy - overall,Percentage,Belgium,2013-01-01,7.671
Annual,Renewable energy - overall,Percentage,Belgium,2014-01-01,8.038
Annual,Renewable energy - overall,Percentage,Belgium,2015-01-01,8.06
Annual,Renewable energy - overall,Percentage,Belgium,2016-01-01,8.744
Annual,Renewable energy - overall,Percentage,Belgium,2017-01-01,9.136
Annual,Renewable energy - overall,Percentage,Belgium,2018-01-01,9.472
Annual,Renewable energy - overall,Percentage,Belgium,2019-01-01,9.929
Annual,Renewable energy - overall,Percentage,Belgium,2020-01-01,13.0
Annual,Renewable energy - overall,Percentage,Belgium,2021-01-01,13.017
Annual,Renewable energy - overall,Percentage,Belgium,2022-01-01,13.831
Annual,Renewable energy - overall,Percentage,Belgium,2023-01-01,14.673
Annual,Renewable energy - overall,Percentage,Belgium,2024-01-01,14.336
Annual,Renewable energy - overall,Percentage,Bulgaria,2004-01-01,9.231
Annual,Renewable energy - overall,Percentage,Bulgaria,2005-01-01,9.173
Annual,Renewable energy - overall,Percentage,Bulgaria,2006-01-01,9.415
Annual,Renewable energy - overall,Percentage,Bulgaria,2007-01-01,9.098
Annual,Renewable energy - overall,Percentage,Bulgaria,2008-01-01,10.345
Annual,Renewable energy - overall,Percentage,Bulgaria,2009-01-01,12.005
Annual,Renewable energy - overall,Percentage,Bulgaria,2010-01-01,13.927
Annual,Renewable energy - overall,Percentage,Bulgaria,2011-01-01,14.152
Annual,Renewable energy - overall,Percentage,Bulgaria,2012-01-01,15.837
Annual,Renewable energy - overall,Percentage,Bulgaria,2013-01-01,18.898
Annual,Renewable energy - overall,Percentage,Bulgaria,2014-01-01,18.05
Annual,Renewable energy - overall,Percentage,Bulgaria,2015-01-01,18.261
Annual,Renewable energy - overall,Percentage,Bulgaria,2016-01-01,18.76
Annual,Renewable energy - overall,Percentage,Bulgaria,2017-01-01,18.695
Annual,Renewable energy - overall,Percentage,Bulgaria,2018-01-01,20.581
Annual,Renewable energy - overall,Percentage,Bulgaria,2019-01-01,21.545
Annual,Renewable energy - overall,Percentage,Bulgaria,2020-01-01,23.319
Annual,Renewable energy - overall,Percentage,Bulgaria,2021-01-01,19.394
Annual,Renewable energy - overall,Percentage,Bulgaria,2022-01-01,19.079
Annual,Renewable energy - overall,Percentage,Bulgaria,2023-01-01,23.151
Annual,Renewable energy - overall,Percentage,Bulgaria,2024-01-01,23.21
Annual,Renewable energy - overall,Percentage,Czechia,2004-01-01,6.773
Annual,Renewable energy - overall,Percentage,Czechia,2005-01-01,7.113
Annual,Renewable energy - overall,Percentage,Czechia,2006-01-01,7.362
Annual,Renewable energy - overall,Percentage,Czechia,2007-01-01,7.895
Annual,Renewable energy - overall,Percentage,Czechia,2008-01-01,8.674
Annual,Renewable energy - overall,Percentage,Czechia,2009-01-01,9.977
Annual,Renewable energy - overall,Percentage,Czechia,2010-01-01,10.513
Annual,Renewable energy - overall,Percentage,Czechia,2011-01-01,10.945
Annual,Renewable energy - overall,Percentage,Czechia,2012-01-01,12.814
Annual,Renewable energy - overall,Percentage,Czechia,2013-01-01,13.927
Annual,Renewable energy - overall,Percentage,Czechia,2014-01-01,15.074
Annual,Renewable energy - overall,Percentage,Czechia,2015-01-01,15.07
Annual,Renewable energy - overall,Percentage,Czechia,2016-01-01,14.926
Annual,Renewable energy - overall,Percentage,Czechia,2017-01-01,14.799
Annual,Renewable energy - overall,Percentage,Czechia,2018-01-01,15.139
Annual,Renewable energy - overall,Percentage,Czechia,2019-01-01,16.239
Annual,Renewable energy - overall,Percentage,Czechia,2020-01-01,17.303
Annual,Renewable energy - overall,Percentage,Czechia,2021-01-01,17.614
Annual,Renewable energy - overall,Percentage,Czechia,2022-01-01,18.123
Annual,Renewable energy - overall,Percentage,Czechia,2023-01-01,18.555
Annual,Renewable energy - overall,Percentage,Czechia,2024-01-01,19.211
