freq,siec,nrg_cons,unit,tax,currency,geo,time,value,dataset
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2007-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2007-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2008-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2008-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2009-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2009-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2010-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2010-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2011-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2011-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2012-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2012-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2013-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2013-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2014-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2014-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2015-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2015-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2016-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2016-S2,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2017-S1,,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2017-S2,0.1191,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2018-S1,0.1273,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2018-S2,0.1295,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2019-S1,0.1367,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2019-S2,0.1446,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2020-S1,0.119,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2020-S2,0.1249,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2021-S1,0.1183,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2021-S2,0.1555,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2022-S1,0.1928,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2022-S2,0.2374,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2023-S1,0.2413,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2023-S2,0.2332,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2024-S1,0.2279,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2024-S2,0.2233,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2025-S1,0.2148,electricity_prices
"Half-yearly, semesterly",Electricity,Consumption of kWh - all bands,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2025-S2,0.2112,electricity_prices
