freq,nrg_bal,siec,unit,geo,time,value,dataset
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2013,918671.439,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2014,876100.968,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2015,895850.777,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2016,914626.279,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2017,927346.083,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2018,928645.111,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2019,922846.966,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2020,871862.63,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2021,925205.048,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2022,885717.318,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2023,855847.228,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2024,861420.154,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2013,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2014,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2015,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2016,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2017,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2018,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2019,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2020,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2021,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2022,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2023,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 21 countries (from 2026),2024,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2013,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2014,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2015,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2016,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2017,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2018,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2019,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2020,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2021,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2022,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2023,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area – 20 countries (2023-2025),2024,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area - 19 countries  (2015-2022),2013,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area - 19 countries  (2015-2022),2014,,energy_consumption
