freq,siec,unit,geo,time,value,dataset
Annual,Total,Percentage,European Union - 27 countries (from 2020),1990,50.024,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1991,50.459,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1992,51.742,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1993,50.278,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1994,51.317,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1995,52.152,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1996,52.691,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1997,53.559,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1998,55.381,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),1999,55.026,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2000,56.285,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2001,55.769,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2002,56.256,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2003,56.878,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2004,56.854,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2005,57.819,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2006,58.244,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2007,57.219,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2008,58.37,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2009,57.172,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2010,55.745,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2011,56.331,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2012,54.882,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2013,53.897,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2014,54.4,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2015,55.999,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2016,56.12,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2017,57.494,energy_dependency
Annual,Total,Percentage,European Union - 27 countries (from 2020),2018,58.112,energy_dependency
