freq,nrg_bal,unit,geo,time,value,dataset
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2004,9.605,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2005,10.182,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2006,10.778,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2007,11.749,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2008,12.552,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2009,13.85,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2010,14.405,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2011,14.547,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2012,16.002,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2013,16.659,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2014,17.416,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2015,17.82,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2016,17.978,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2017,18.411,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2018,19.096,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2019,19.887,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2020,22.038,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2021,21.897,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2022,23.003,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2023,24.579,renewables_share
Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2024,25.241,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2004,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2005,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2006,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2007,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2008,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2009,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2010,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2011,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2012,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2013,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2014,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2015,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2016,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2017,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2018,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2019,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2020,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2021,40.055,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2022,40.828,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2023,46.58,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 21 countries (from 2026),2024,47.417,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2004,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2005,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2006,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2007,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2008,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2009,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2010,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2011,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2012,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2013,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2014,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2015,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2016,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2017,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2018,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2019,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2020,,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2021,20.661,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2022,21.749,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2023,23.429,renewables_share
Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (2023-2025),2024,24.205,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2004,1.916,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2005,2.325,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2006,2.658,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2007,3.14,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2008,3.611,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2009,4.746,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2010,6.004,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2011,6.302,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2012,7.086,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2013,7.671,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2014,8.038,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2015,8.06,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2016,8.744,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2017,9.136,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2018,9.472,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2019,9.929,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2020,13.0,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2021,13.017,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2022,13.831,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2023,14.673,renewables_share
Annual,Renewable energy - overall,Percentage,Belgium,2024,14.336,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2004,9.231,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2005,9.173,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2006,9.415,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2007,9.098,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2008,10.345,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2009,12.005,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2010,13.927,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2011,14.152,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2012,15.837,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2013,18.898,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2014,18.05,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2015,18.261,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2016,18.76,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2017,18.695,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2018,20.581,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2019,21.545,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2020,23.319,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2021,19.394,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2022,19.079,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2023,23.151,renewables_share
Annual,Renewable energy - overall,Percentage,Bulgaria,2024,23.21,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2004,6.773,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2005,7.113,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2006,7.362,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2007,7.895,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2008,8.674,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2009,9.977,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2010,10.513,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2011,10.945,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2012,12.814,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2013,13.927,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2014,15.074,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2015,15.07,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2016,14.926,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2017,14.799,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2018,15.139,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2019,16.239,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2020,17.303,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2021,17.614,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2022,18.123,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2023,18.555,renewables_share
Annual,Renewable energy - overall,Percentage,Czechia,2024,19.211,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2004,14.839,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2005,15.955,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2006,16.332,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2007,17.747,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2008,18.543,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2009,19.948,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2010,21.888,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2011,23.389,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2012,25.465,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2013,27.173,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2014,29.31,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2015,30.469,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2016,31.715,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2017,34.387,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2018,35.159,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2019,37.02,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2020,31.681,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2021,41.494,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2022,41.368,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2023,43.728,renewables_share
Annual,Renewable energy - overall,Percentage,Denmark,2024,46.461,renewables_share
Annual,Renewable energy - overall,Percentage,Germany,2004,6.207,renewables_share
Annual,Renewable energy - overall,Percentage,Germany,2005,7.167,renewables_share
Annual,Renewable energy - overall,Percentage,Germany,2006,8.466,renewables_share
Annual,Renewable energy - overall,Percentage,Germany,2007,10.039,renewables_share
Annual,Renewable energy - overall,Percentage,Germany,2008,10.072,renewables_share
